type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,lance bangs,jen kirkman,united states,2017,tv-ma,69 min,stand-up comedy,69.0,min
movie,rohit mittal,"deepak sampat, ronjini chakroborty, vikrant singh, jhanvi dwivedi, ajay mishra, rohit mittal, sunny banerjee, ravidev singh",india,2016,tv-ma,97 min,"dramas, international movies, thrillers",97.0,min
movie,"steve hickner, simon j. smith","jerry seinfeld, renée zellweger, matthew broderick, patrick warburton, john goodman, chris rock, kathy bates, barry levinson, larry king, ray liotta",united states,2007,pg,92 min,"children & family movies, comedies",92.0,min
movie,jalil lespert,"benoît magimel, isabelle carré, antoine duléry, ramzy bédia, bouli lanners, marie-ange casta, daniel duval, lubna azabal, aurore clément, audrey tautou","france, belgium",2011,tv-ma,92 min,"dramas, independent movies, international movies",92.0,min
tv show,unknown,"avery brooks, nana visitor, rene auberjonois, cirroc lofton, alexander siddig, colm meaney, armin shimerman, terry farrell, michael dorn",united states,1999,tv-14,7 Seasons,"tv action & adventure, tv sci-fi & fantasy",7.0,season
movie,abhishek chaubey,"shahid kapoor, kareena kapoor, alia bhatt, diljit dosanjh, satish kaushik, suhail nayyar, prabhjyot singh, harpreet singh, manav vij, taran bajaj",india,2016,tv-ma,146 min,"dramas, international movies",146.0,min
movie,diego luna,"danny glover, maya rudolph, josé maría yazpik, joel murray, angélica aragón, gabriela araujo",mexico,2016,tv-ma,97 min,"dramas, independent movies, international movies",97.0,min
tv show,unknown,"ji-yeon park, dong-ho kang, chul-woong kang, bo-hyun ahn, hak jin, se-jin park, kisum",south korea,2016,tv-14,1 Season,"international tv shows, korean tv shows, romantic tv shows",1.0,season
tv show,unknown,"mamoru miyano, yoshimasa hosoya, jun fukuyama, hochu otsuka, daisuke hirakawa, takahiro sakurai, mikako komatsu, hiroyuki kinoshita, aya suzaki",japan,2016,tv-ma,2 Seasons,"anime series, international tv shows",2.0,season
tv show,unknown,"cameron dallas, aaron carpenter, taylor caniff, willie jones, trey schafer, bart bordelon, blake gray",united states,2016,tv-14,1 Season,"reality tv, teen tv shows",1.0,season
movie,jorge michel grau,"demián bichir, héctor bonilla, oscar serrano, azalia ortiz, octavio michel, carmen beato",mexico,2016,tv-ma,93 min,"dramas, international movies",93.0,min
movie,"riki lindhome, jeremy konner","riki lindhome, kate micucci, anthony jeselnik, steve agee",united states,2016,tv-ma,62 min,"music & musicals, stand-up comedy",62.0,min
tv show,unknown,"tuppence middleton, brian j. smith, doona bae, max riemelt, naveen andrews, daryl hannah, freema agyeman, terrence mann, adam shapiro, max mauff, alfonso herrera, eréndira ibarra, aml ameen, jamie clayton, tina desae, miguel ángel silvestre, toby onwumere, joe pantoliano",united states,2018,tv-ma,2 Seasons,"crime tv shows, tv dramas, tv mysteries",2.0,season
movie,thomas astruc,"cristina vee, bryce papenbrook, keith silverstein, mela lee, max mittelman, carrie keranen, stephanie sheh, selah victor, ben diskin, erin fitzgerald, grant george","france, south korea, japan",2016,tv-y7,22 min,movies,22.0,min
movie,manny rodriguez,gabriel iglesias,united states,2016,tv-14,88 min,stand-up comedy,88.0,min
movie,vikram gandhi,"devon terrell, anya taylor-joy, jason mitchell, ashley judd, jenna elfman, ellar coltrane, avi nash, linus roache, john benjamin hickey",united states,2016,tv-ma,105 min,dramas,105.0,min
tv show,unknown,"cara theobold, susan wokoma, riann steele, arinzé kene, lewis reeves, tony curran",united kingdom,2016,tv-ma,1 Season,"british tv shows, international tv shows, tv comedies",1.0,season
movie,sean hanish,"jacki weaver, troian bellisario, stana katic, michelle trachtenberg, jess weixler, alfred molina, amy smart, tom everett scott, kaia gerber, aimee garcia, kathy baker, peter jason",united states,2016,tv-ma,88 min,dramas,88.0,min
movie,sinan akkuş,"kostja ullmann, eko fresh, kida khodr ramadan, sabrina klüber, sami nasser, kayla rybicka, jytte-merle böhrnsen, emrah erdogru, tim grothe, hülya duyar",germany,2015,tv-ma,93 min,"comedies, international movies",93.0,min
tv show,unknown,"jae hee, soo-kyung lee, so-yi yoon, ji-ho shim, sang-myeon park, joo-young kim",south korea,2012,tv-pg,1 Season,"international tv shows, korean tv shows, romantic tv shows",1.0,season
movie,matt bell,eddie hall,united kingdom,2015,tv-ma,98 min,"documentaries, sports movies",98.0,min
tv show,unknown,"soo-hyun hong, si won ryu, ji-yoon park, min-soo kim, julien kang, joo-eun oh, seong-mo jeong",south korea,2012,tv-14,1 Season,"international tv shows, korean tv shows, romantic tv shows",1.0,season
tv show,unknown,"hee-jin lee, hae-seong kwon, paul stafford, mi-ji lee, ik-tae kim, ki-hyeon kim",south korea,2012,tv-14,1 Season,"international tv shows, korean tv shows, tv dramas",1.0,season
tv show,unknown,"bul-am choi, ho-jeong yoo, sae-ron kim, chan-hee kang, woo-sung hyun, an seo hyun, ho-jin kim",south korea,2011,tv-ma,1 Season,"international tv shows, korean tv shows, tv dramas",1.0,season
tv show,unknown,"feng shaofeng, victoria song, ma tianyu, zhang meng, hee-seon kim, gong beibi, shao bing, hu bing, wang duo",china,2016,tv-14,1 Season,"international tv shows, tv action & adventure, tv sci-fi & fantasy",1.0,season
tv show,unknown,"jae-suk han, sun-young park, du-shim ko, ye-jin lim, jong-hwan choi, ha-nui lee, yun-hoo ko, byeong-ki kim, sun-kyung kim, yoon-sik baek",south korea,2012,tv-14,1 Season,"international tv shows, korean tv shows, tv dramas",1.0,season
tv show,unknown,"kappei yamaguchi, satsuki yukino, kumiko watanabe, noriko hidaka, koji tsujitani, houko kuwashima, toshiyuki morikawa, richard ian cox, moneca stori, paul dobson, kirby morrow, kelly sheridan, jillian michaels",japan,2001,tv-14,2 Seasons,"anime series, international tv shows",2.0,season
tv show,unknown,"jung eun kim, yu-hwan park, eun-ah go, yong hwan kwak, jin hyuk",south korea,2012,tv-14,1 Season,"international tv shows, korean tv shows, romantic tv shows",1.0,season
tv show,james hawes,"colin morgan, bradley james, katie mcgrath, angel coulby, richard wilson, anthony head, john hurt, nathaniel parker",united kingdom,2012,tv-pg,5 Seasons,"british tv shows, international tv shows, tv action & adventure",5.0,season
tv show,unknown,"dong-hae lee, seung-ah yoon, jin-hyuk choi, so-young yoo, yeo-jin hong, min-jin jung",south korea,2012,tv-pg,1 Season,"international tv shows, korean tv shows, romantic tv shows",1.0,season
movie,elite zexer,"lamis ammar, ruba blal, haitham omari, khadija alakel, jalal masarwa","israel, germany, france",2016,tv-pg,88 min,"dramas, independent movies, international movies",88.0,min
tv show,unknown,"marcel hensema, paul freeman, irrfan khan, stacy keach, michael ironside, stephen mchattie, shinya tsukamoto","canada, japan, netherlands",2017,tv-ma,1 Season,"international tv shows, tv dramas",1.0,season
movie,"raúl campos, jan suter","ricardo o'farrill, carlos ballarta, sofía niño de rivera, chumel torres, marissa ""chabe"" lozano",mexico,2016,tv-ma,31 min,stand-up comedy,31.0,min
movie,alex lehmann,"noah britton, ethan finlan, jack hanke, new michael ingemi",united states,2016,tv-ma,83 min,documentaries,83.0,min
tv show,unknown,unknown,united kingdom,2016,tv-ma,1 Season,"crime tv shows, docuseries",1.0,season
movie,james yukich,"mariah carey, lacey chabert, kelsey grammer, billy gardell, fina strazza, kenneth edmonds, cameron mathison, brennan elliott",united states,2015,tv-g,38 min,"children & family movies, music & musicals",38.0,min
movie,nic mathieu,"james badge dale, emily mortimer, bruce greenwood, max martini, clayne crawford, cory hardrict, louis ozawa changchien, jimmy akingbola, dylan smith, philip bulcock","united states, hungary",2016,tv-14,108 min,"action & adventure, sci-fi & fantasy",108.0,min
tv show,unknown,"tory belleci, kari byron, grant imahara",united states,2016,tv-14,1 Season,"docuseries, international tv shows, reality tv",1.0,season
tv show,unknown,"esther wu, dino lee, gong yi teng, xi wei lun, honduras, vega tsai, shen chang hung",taiwan,2016,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,chris kelly,"jesse plemons, molly shannon, bradley whitford, maude apatow, madisen beaty, john early, zach woods, paul dooley, june squibb",united states,2016,tv-ma,97 min,"comedies, dramas, independent movies",97.0,min
tv show,unknown,unknown,"france, germany",2015,tv-14,1 Season,"docuseries, international tv shows",1.0,season
movie,alex lehmann,"sarah paulson, mark duplass, clu gulager",united states,2016,tv-ma,81 min,"dramas, independent movies, romantic movies",81.0,min
movie,roman gackowski,"satnam singh bhamara, mark cuban, adam silver, vivek ranadivé",united states,2016,tv-14,70 min,"documentaries, sports movies",70.0,min
movie,benjamin dickinson,reggie watts,united states,2016,tv-ma,62 min,"music & musicals, stand-up comedy",62.0,min
tv show,unknown,"d.j. cotrona, zane holtz, eiza gonzalez, jesse garcia, madison davenport, brandon soo hoo, wilmer valderrama, robert patrick, jake busey, samantha esteban, don johnson",united states,2016,tv-ma,3 Seasons,"classic & cult tv, tv action & adventure, tv horror",3.0,season
movie,sacha wolff,"toki pilioko, iliana zabeth, mikaele tuugahala, laurent pakihivatau, petelo sealeu, maoni talalua, teotola maka, bessarion udesiani",france,2016,tv-ma,99 min,"dramas, international movies, sports movies",99.0,min
tv show,unknown,"victoria baldesarra, sarah carmosino, jordan clark, deshaun clarke, keara graves, katrina hachey, shane harte, ali milner, levi randall, brittany raymond, trevor tordjman, michael torontow, alex zaichkowski, matthew bacik, alyssa baker, ella jonas farlinger, ian matthews, rakim kelly, bailey pelkman, olivia solo",canada,2016,tv-g,2 Seasons,"kids' tv, tv comedies, tv dramas",2.0,season
movie,adam nimoy,"leonard nimoy, william shatner, george takei, nichelle nichols, chris pine, zachary quinto, simon pegg, zoe saldana, jim parsons, jason alexander, neil degrasse tyson, j.j. abrams","canada, united states",2016,tv-14,112 min,documentaries,112.0,min
movie,elizabeth wood,"morgan saylor, brian 'sene' marc, justin bartha, chris noth, adrian martinez, india menuez, anthony ramos, ralph rodriguez, annabelle dexter-jones",united states,2016,tv-ma,90 min,"dramas, independent movies",90.0,min
movie,robert mccullough jr.,unknown,united states,2016,tv-pg,56 min,"documentaries, sports movies",56.0,min
movie,shrihari sathe,"usha naik, sandeep pathak, shrikant yadav, ganesh yadav, pooja nayak, devendra gaikwad",india,2014,tv-14,89 min,"dramas, international movies",89.0,min
movie,ralph macchio,"ben hyland, marsha mason, karina smirnoff, colin branca, ralph macchio, tricia paoluccio",united states,2013,tv-pg,24 min,dramas,24.0,min
movie,ricardo maldonado,"carlos alcántara, emilia drago, christian meier, andrés salas, anahí de cárdenas, rodrigo sánchez patiño, denisse dibós, javier delgiudice, ana cecilia natteri",peru,2015,tv-14,100 min,"comedies, international movies",100.0,min
tv show,unknown,"marcus chang, ivy shao, mini tsai, yorke sun, ray yang, chang chieh",taiwan,2016,tv-pg,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,"baron chen, megan lai, bii, katie chen, sean lee",taiwan,2015,tv-pg,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,vetrimaaran,"dinesh ravi, samuthirakani, kishore kumar, anandhi, murugadoss, ajay ghosh",india,2015,tv-ma,116 min,"dramas, international movies, thrillers",116.0,min
movie,linas phillips,"linas phillips, melanie lynskey, timm sharp, tobin bell, jay duplass, lauren weedman, artemis pebdani, reagan yates, austin fryberger",united states,2016,tv-ma,92 min,"comedies, dramas, independent movies",92.0,min
tv show,unknown,"aaron yan, joanne tseng, lene lai, jack lee, jr",taiwan,2016,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,jeff margolis,richard pryor,united states,1979,tv-ma,79 min,stand-up comedy,79.0,min
movie,bauddhayan mukherji,"ritwick chakraborty, adil hussain, nayani dixit, sonam stobgais",india,2016,tv-14,72 min,"dramas, independent movies, international movies",72.0,min
movie,maría jose cuevas,"olga breeskin, lyn may, rossy mendoza, wanda seux, princesa yamal",mexico,2016,tv-ma,92 min,"documentaries, international movies",92.0,min
tv show,unknown,"lauren graham, alexis bledel, kelly bishop, scott patterson, yanic truesdale, matt czuchry, liza weil, milo ventimiglia, sean gunn, keiko agena, rose abdoo, melissa mccarthy",united states,2016,tv-14,1 Season,"tv comedies, tv dramas, teen tv shows",1.0,season
movie,oz rodriguez,michael che,united states,2016,tv-ma,61 min,stand-up comedy,61.0,min
movie,chris sparling,"james wolk, caitlin fitzgerald, tom lipinski, dan ziskie, michael godere, michael donovan, dion graham, constance barron",united states,2016,tv-ma,88 min,"dramas, thrillers",88.0,min
movie,qaushiq mukherjee,"joyraj bhattacharya, rii, soumyak kanti debiswas, anubrata basu, tillotama shome, maya tideman, tinu verghese, immaduddin shah, sayani gupta",india,2012,tv-14,113 min,"dramas, independent movies, international movies",113.0,min
movie,"jan suter, raúl campos delgado",carlos ballarta,mexico,2016,tv-ma,67 min,stand-up comedy,67.0,min
movie,"shannon hartman, michelle caputo",donald glover,united states,2012,tv-ma,65 min,stand-up comedy,65.0,min
movie,jerry seinfeld,colin quinn,united states,2016,tv-ma,62 min,stand-up comedy,62.0,min
movie,houda benyamina,"déborah lukumuena, jisca kalvanda, kévin mischel, majdouline idrissi, oulaya amamra, yasin houicha","france, qatar",2016,tv-ma,107 min,"dramas, independent movies, international movies",107.0,min
tv show,unknown,"ana maría estupiñán, sebastian eslava, juan sebastián aragón, diego vásquez, carlos velazquez, marcela benjumea, melisa caceres, michelle orozco, alberto cardeño, constanza camelo, fernando arévalo",colombia,2016,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",1.0,season
tv show,unknown,"indira varma, robert glenister, dino fetscher, neil stuke, christiane paul, lesley sharp, kevin doyle",united kingdom,2016,tv-ma,1 Season,"british tv shows, crime tv shows, international tv shows",1.0,season
movie,volker weicker,dieter nuhr,germany,2016,tv-ma,69 min,stand-up comedy,69.0,min
movie,manjeet singh,"rahul bairagi, arbaaz khan, tejas parvatkar, dhanshree jain, salman khan, aftab khan",india,2012,tv-ma,77 min,"dramas, independent movies, international movies",77.0,min
movie,jeff wadlow,"kevin james, andy garcia, zulay henao, maurice compte, kelen coleman, andrew howard, rob riggle, leonard earl howze, yul vazquez, kim coates, daniel zacapa, ron rifkin, jeff chase",united states,2016,tv-14,98 min,"action & adventure, comedies",98.0,min
tv show,unknown,paul bandey,france,2009,tv-ma,1 Season,"docuseries, international tv shows",1.0,season
movie,lorene machado,kathleen madigan,united states,2016,tv-ma,71 min,stand-up comedy,71.0,min
tv show,unknown,"steinunn ólína þorsteinsdóttir, magnús jónsson, þorsteinn bachmann, jóhanna vigdís arnardóttir, birna rún eiríksdóttir, elma stefania agustsdottir, bergur þór ingólfsson, halldóra geirharðsdóttir, arnar jónsson, davíð freyr þórunnarson, björn stefánsson, nína dögg filippusdóttir, hjortur jóhann jónsson",iceland,2015,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas",1.0,season
tv show,unknown,"alexander armstrong, kevin eldon, stephen fry, ed gaughan, shauna macdonald, dave lamb, morwenna banks",united kingdom,2016,tv-y7,2 Seasons,"british tv shows, kids' tv",2.0,season
movie,marcus raboy,dana carvey,united states,2016,tv-ma,64 min,stand-up comedy,64.0,min
movie,"kief davidson, richard ladkani",unknown,austria,2016,tv-14,112 min,documentaries,112.0,min
movie,richard mears,julie walters,united kingdom,2015,tv-pg,59 min,documentaries,59.0,min
tv show,unknown,"annie chen, chris wang, hsieh kun da, puff kuo, jennifer hong",taiwan,2011,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,"aaron yan, puff kuo, katherine wang, dean fujioka, lyla lin, lin yu-pin",taiwan,2013,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,"george hu, annie chen, mandy tao, jack lee, tan ai-chen, jian chang, wang chuan",taiwan,2013,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,"chris wang, serena fang, jack lee, amanda chou, yin fu, rabbit yang, meng-sheng shen",taiwan,2013,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,"ann hsu, chris wang, alan kuo, k'ang-i lee, albee huang",taiwan,2012,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,"annie chen, george hu, bobby dou, vivi lee, harry chang, esther yang, mandy wei",taiwan,2012,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,"heidi ewing, rachel grady","norman lear, george clooney, bill moyers, john amos, russell simmons, louise lasser, rob reiner, jon stewart, amy poehler",united states,2016,tv-ma,91 min,documentaries,91.0,min
movie,moto sakakibara,"erin mathews, sam vincent, andrea libman, ashleigh ball, ian james corlett, brian drummond, lee tockar, matt hill, richard newman",unknown,2016,tv-y,44 min,movies,44.0,min
movie,emilio martínez lázaro,"dani rovira, clara lago, karra elejalde, carmen machi, belén cuesta, berto romero, rosa maría sardà, alfonso sánchez, alberto lópez, josep maria riera",spain,2015,tv-ma,107 min,"comedies, international movies, romantic movies",107.0,min
movie,robert vince,"makenzie moss, jed rees, david deluise, carla jimenez, tom everett scott, diedrich bader, george newbern, bonnie somerville, john ratzenberger",canada,2016,g,92 min,"children & family movies, comedies",92.0,min
movie,osgood perkins,"ruth wilson, bob balaban, lucy boynton, paula prentiss","canada, united states",2016,tv-14,89 min,"horror movies, international movies, thrillers",89.0,min
movie,werner herzog,werner herzog,"united kingdom, germany, canada",2016,tv-pg,107 min,documentaries,107.0,min
movie,julien rambaldi,"marc zinga, aïssa maïga, bayron lebli, médina diarra, rufus, jonathan lambert, jean-benoît ugeux",france,2016,tv-14,94 min,"comedies, dramas, international movies",94.0,min
movie,yvan attal,"yvan attal, benoît poelvoorde, charlotte gainsbourg, valérie bonneton, dany boon, grégory gadebois, denis podalydès, françois damiens, yamée couture, freya mavor, rivka michaeli","france, belgium",2016,tv-ma,110 min,"comedies, international movies",110.0,min
tv show,unknown,"mike smith, john paul tremblay, robb wells",canada,2016,tv-ma,1 Season,"international tv shows, tv comedies",1.0,season
movie,benjamin weill,"devi couzigou, mathis crusson, victor le blond, sullivan loyez, pierre-françois martin-laval, hugo chalan-marchio",france,2016,tv-ma,81 min,"comedies, dramas, international movies",81.0,min
movie,roger gual,"paco león, juana acosta, juan pablo raba, alex brendemühl, manuel morón",spain,2016,tv-ma,77 min,"dramas, international movies",77.0,min
tv show,unknown,"david gyasi, christina marie moses, chris wood, kristen gutoskie, claudia black, george young, hanna mangan lawrence, trevor st. john",united states,2016,tv-ma,1 Season,"tv dramas, tv thrillers",1.0,season
movie,anthony giordano,joe rogan,united states,2016,tv-ma,64 min,stand-up comedy,64.0,min
movie,thomas sorriaux,"gérard depardieu, chantal lauby, medi sadoun, ilian bergala, blanche gardin, patrick timsit, barbara cabrita, jean dell, thomas vandenberghe, théo fernandez, léa lopez",france,2016,tv-ma,97 min,"comedies, international movies, sports movies",97.0,min
movie,toshiyuki kubooka,"hiroaki iwanaga, takahiro sakurai, toa yukinari, yuki kaji, minako kotobuki, takahiro fujiwara, yoshiro matsumoto, kazuki yao, aki toyosaki, rikiya koyama, kenta miyake",japan,2012,tv-ma,77 min,"action & adventure, anime features, international movies",77.0,min
movie,noriyuki abe,"masakazu morita, fumiko orikasa, aya hirano, hiroshi kamiya, mitsuaki madono, ryotaro okiayu, kentaro ito, shinichiro miki, satsuki yukino, masaaki tsukada",japan,2008,tv-pg,94 min,"action & adventure, anime features, sci-fi & fantasy",94.0,min
movie,noriyuki abe,"masakazu morita, fumiko orikasa, kazuya nakai, noriaki sugiyama, kentarô itô, yuki matsuoka, ryotaro okiayu, romi park",japan,2010,tv-14,94 min,"action & adventure, anime features, sci-fi & fantasy",94.0,min
movie,clovis cornillac,"mélanie bernier, clovis cornillac, lilou fogli, philippe duquesne, grégoire oestermann, oscar copp, boris terral, manu payet",france,2015,tv-14,91 min,"comedies, international movies, music & musicals",91.0,min
tv show,unknown,"kappei yamaguchi, alessandro juliani, mamoru miyano, brad swaile, ai satou, saffron henderson, akeno watanabe, lisa ann beley, aya hirano, shannon chan-kent, haruka kudo, kelly metzger, hideo ishikawa, brian dobson, hiroki takahashi, sam vincent, shido nakamura, brian drummond, naoya uchida, chris britton",japan,2006,tv-14,1 Season,"anime series, crime tv shows, international tv shows",1.0,season
tv show,unknown,"marc-andré grondin, denis ménochet, miranda raison, doug allen, liam garrigan, ciarán owens, kate magowan, tanya fear, naomi radcliffe, lucy akhurst, jemma donovan, niall hayes, brendan coyle","united kingdom, france",2015,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas",1.0,season
tv show,unknown,"daisuke kishio, ezra weisz, mamoru miyano, vic mignogna, yui horie, mela lee, risa mizuno, stephanie sheh, junichi suwabe, troy baker, jun fukuyama, bryce papenbrook, mai nakahara, laura bailey, soichiro hoshi, steve staley, susumu chiba, spike spencer, hiroki yasumoto, travis willingham, fumiko orikasa, wendee lee",japan,2008,tv-14,2 Seasons,"anime series, international tv shows, romantic tv shows",2.0,season
movie,kevin macdonald,cai guo-qiang,united states,2016,tv-ma,80 min,documentaries,80.0,min
movie,christopher guest,"carrie aizley, sarah baker, bob balaban, ed begley jr., tom bennett, maria blasucci, jennifer coolidge, kerry godliman, matt griesser, christopher guest, john michael higgins, michael hitchcock, don lake, jane lynch, christopher moynihan, chris o'dowd, jim piddock, parker posey, harry shearer, fred willard, zach woods, susan yeagley",united states,2016,tv-ma,95 min,comedies,95.0,min
movie,jonathan demme,justin timberlake,united states,2016,tv-ma,90 min,music & musicals,90.0,min
movie,ava duvernay,unknown,united states,2016,tv-ma,101 min,documentaries,101.0,min
movie,dave higby,russell peters,united states,2016,tv-ma,73 min,stand-up comedy,73.0,min
tv show,unknown,"judy greer, jeff gill, erin fitzgerald, fred tatasciore, gregg spiridellis",united states,2016,tv-y,1 Season,kids' tv,1.0,season
movie,richie smyth,"jamie dornan, guillaume canet, emmanuelle seigner, jason o'mara, mikael persbrandt, mark strong, michael mcelhatton, danny sapani, sam keeley, ronan raftery, mike noble, charlie kelly, conor macneill, fionn o'shea, conor quinlan, jordan mifsud","ireland, south africa",2016,tv-ma,108 min,"action & adventure, dramas, international movies",108.0,min
movie,michael d. black,"a.j. locascio, sendhil ramamurthy, fred tatasciore, jake johnson, lauren lapkus, zachary levi, bd wong, david gunning",united states,2016,tv-y7,25 min,"children & family movies, comedies",25.0,min
tv show,unknown,"jason tsou, queen wei, river huang, fabien yang, tang chen-kang, figaro tseng",taiwan,2015,tv-pg,1 Season,"international tv shows, romantic tv shows, tv dramas",1.0,season
tv show,unknown,"bobby dou, peijia huang, nylon chen, vivi lee, edison wang, serena fang",taiwan,2015,tv-14,1 Season,"international tv shows, romantic tv shows, tv dramas",1.0,season
movie,riccardo pilizzeri,"ande cunningham, mark mitchinson, mia pistorius, nathalie boltt, nathan lovejoy, colin moy, jay simon, coen falke, greta gregory, byron coll",new zealand,2016,tv-ma,86 min,dramas,86.0,min
movie,guilherme fontes,"marco ricca, andrea beltrão, letícia sabatella, leandra leal, gabriel braga nunes, paulo betti, marcos oliveira, eliane giardini",brazil,2015,tv-ma,105 min,"dramas, international movies",105.0,min
tv show,unknown,"aaron yan, tia lee, jack lee, katherine wang, beatrice fang, vince kao, chen bor jeng",taiwan,2014,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,aamir bashir,"mohammad amir naji, shahnawaz bhat, shamim basharat, salma ashai, mudessir ahmed khan, rayes mohiuddin",india,2010,tv-ma,100 min,"dramas, international movies",100.0,min
tv show,unknown,"george hu, phoebe yuan, hsieh kun da, jay shih, smile weng, jet chao, jessie chang",taiwan,2014,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,unknown,"united states, russia",2012,tv-y,1 Season,kids' tv,1.0,season
movie,alejandro fernández almendras,"agustín silva, paulina garcía, daniel alcaíno, alejandro goic, luis gnecco, samuel landea, dindi jane, isabella costa, augusto schuster, pilar ronderos","chile, united states, france",2016,tv-ma,96 min,"dramas, independent movies, international movies",96.0,min
tv show,unknown,"danson tang, chia-ying lee, jolin chien, jenna wang, meng-sheng shen, wen-lin fang, wei lin, phoebe huang",taiwan,2015,tv-pg,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,álex de la iglesia,"raphael, mario casas, pepón nieto, blanca suárez, hugo silva, carmen machi, luis callejo, carlos areces, enrique villén, santiago segura, jaime ordoñez, tomás pozzi, carolina bang, ana polvorosa, luis fernández",spain,2015,tv-ma,97 min,"comedies, international movies, music & musicals",97.0,min
movie,ishi rudell,"tara strong, rebecca shoichet, ashleigh ball, andrea libman, tabitha st. germain, cathy weseluck, enid-raye adams, brian doe, nicole oliver","united states, canada",2016,tv-y7,73 min,"children & family movies, comedies",73.0,min
tv show,david schalko,"udo kier, sunnyi melles, nicholas ofczarek, manuel rubey, nora von waldstätten, thomas stipsits, ursula strauss, robert palfrader, simon schwarz, johannes krisch, lukas miko",united states,2015,tv-ma,1 Season,"international tv shows, tv comedies, tv dramas",1.0,season
movie,unknown,"erin mathews, sam vincent, andrea libman, ashleigh ball, ian james corlett, brian drummond, lee tockar, matt hill",unknown,2016,tv-y7,44 min,movies,44.0,min
movie,pieter kuijpers,"jeroen van koningsbrugge, anna raadsveld, sigrid ten napel, peter blok, bob stoop, lisa zweerman, kay greidanus, rené kortekaas, sieger sloot, mark rietman",netherlands,2016,tv-14,132 min,"dramas, international movies",132.0,min
tv show,unknown,"kingone wang, lorene ren, sean lee, nita lei, william liao",taiwan,2015,tv-14,1 Season,"international tv shows, romantic tv shows, tv dramas",1.0,season
movie,prashant nair,"suraj sharma, tony revolori, smita tambe, adil hussain, rajesh tailang, prateik babbar, pramod pathak, amit sial, sauraseni maitra",india,2015,tv-ma,96 min,"dramas, independent movies, international movies",96.0,min
movie,"paul taublieb, jon freeman",josh brolin,united states,2016,tv-ma,92 min,"documentaries, sports movies",92.0,min
movie,riccardo milani,"claudio bisio, kasia smutniak, beppe fiorello, remo girone, massimo popolizio, cesare bocci, omero antonutti, michele alhaique, franco ravera, patrizio rispo, piera degli esposti, gianni cavina",italy,2013,tv-ma,99 min,"comedies, international movies",99.0,min
tv show,unknown,"jasper liu, mandy wei, jet chao, ivy shao, tina chou, kao meng-chieh",taiwan,2015,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,"rod blackhurst, brian mcginn",unknown,"denmark, united states",2016,tv-ma,92 min,documentaries,92.0,min
movie,"bonni cohen, jon shenk",unknown,united states,2016,tv-ma,99 min,documentaries,99.0,min
movie,bobcat goldthwait,iliza shlesinger,united states,2016,tv-ma,78 min,stand-up comedy,78.0,min
tv show,unknown,"phil vischer, mike nawrocki, rob paulsen, tress macneille",united states,2016,tv-y,4 Seasons,kids' tv,4.0,season
movie,unknown,"karol modzelewski, łukasz ""lotek” lodkowski",unknown,2016,tv-ma,65 min,stand-up comedy,65.0,min
movie,unknown,"katarzyna piasecka, rafał pacześ",unknown,2016,tv-ma,65 min,stand-up comedy,65.0,min
movie,unknown,"mariusz kałamaga, karol kopiec, wiolka walaszczyk",unknown,2016,tv-ma,69 min,stand-up comedy,69.0,min
movie,unknown,"rafał banaś, michał leja",unknown,2016,tv-ma,64 min,stand-up comedy,64.0,min
movie,unknown,"rafał rutkowski, olka szczęśniak",unknown,2016,tv-ma,63 min,stand-up comedy,63.0,min
movie,unknown,"tomasz jachimek, jacek stramik",unknown,2016,tv-ma,63 min,stand-up comedy,63.0,min
movie,tony elliott,"robbie amell, rachael taylor, shaun benson, gray powell, jacob neayem, adam butcher, tantoo cardinal","canada, united states",2016,tv-ma,89 min,"international movies, sci-fi & fantasy, thrillers",89.0,min
movie,troy miller,cedric the entertainer,united states,2016,tv-ma,60 min,stand-up comedy,60.0,min
movie,louis c.k.,louis c.k.,united states,2010,84 min,Unknown,movies,,unknown
movie,orlando von einsiedel,unknown,united kingdom,2016,tv-pg,41 min,documentaries,41.0,min
